Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
"easyJet, British Airways",8:45,13:40,$186,5h 55m,2024-06-19,Rome,London,False
"easyJet, SWISS",8:45,16:35,$150,8h 50m,2024-06-19,Rome,London,False
"easyJet, SWISS",8:45,13:40,$188,5h 55m,2024-06-19,Rome,London,False
Eurowings,10:45,16:25,$219,6h 40m,2024-06-19,Rome,London,False
Iberia,11:55,18:45,$182,7h 50m,2024-06-19,Rome,London,False
LOT,10:25,17:20,$215,7h 55m,2024-06-19,Rome,London,False
Lufthansa,15:50,19:40,$224,4h 50m,2024-06-19,Rome,London,False
"easyJet, British Airways",8:20,12:40,$196,5h 20m,2024-06-19,Rome,London,False
"Vueling, British Airways",6:45,12:20,$184,6h 35m,2024-06-19,Rome,London,False
"ITA Airways, SWISS",9:15,13:40,$215,5h 25m,2024-06-19,Rome,London,False
"Vueling, British Airways",12:15,18:35,$180,7h 20m,2024-06-19,Rome,London,False
Lufthansa,18:40,22:10,$232,4h 30m,2024-06-19,Rome,London,False
SWISS,15:05,19:25,$222,5h 20m,2024-06-19,Rome,London,False
"easyJet, British Airways",9:20,17:00,$164,8h 40m,2024-06-19,Rome,London,False
"Transavia France, British Airways",6:30,12:20,$187,6h 50m,2024-06-19,Rome,London,False
"ITA Airways, British Airways",9:15,13:40,$213,5h 25m,2024-06-19,Rome,London,False
"Vueling, Iberia",9:50,18:15,$160,9h 25m,2024-06-19,Rome,London,False
"easyJet, British Airways",9:20,18:35,$152,10h 15m,2024-06-19,Rome,London,False
Air Malta,9:50,19:30,$194,10h 40m,2024-06-19,Rome,London,False
Lufthansa,15:50,20:45,$224,5h 55m,2024-06-19,Rome,London,False
Air France,14:35,18:35,$239,5h 00m,2024-06-19,Rome,London,False
SWISS,15:05,21:30,$207,7h 25m,2024-06-19,Rome,London,False
Finnair,10:40,17:05,$210,7h 25m,2024-06-19,Rome,London,False
Lufthansa,15:50,22:40,$203,7h 50m,2024-06-19,Rome,London,False
Multiple airlines,11:40,17:25,$197,6h 45m,2024-06-19,Rome,London,False
"Wizz Air, Eurowings",13:00,18:45,$230,6h 45m,2024-06-19,Rome,London,False
"Wizz Air Malta, Brussels Airlines",13:00,21:35,$164,9h 35m,2024-06-19,Rome,London,False
"SWISS, British Airways",6:15,12:20,$202,7h 05m,2024-06-19,Rome,London,False
Multiple airlines,11:40,18:30,$188,7h 50m,2024-06-19,Rome,London,False
"Wizz Air Malta, British Airways",6:10,11:40,$207,6h 30m,2024-06-19,Rome,London,False
"ITA Airways, British Airways",9:05,12:40,$242,4h 35m,2024-07-19,Rome,London,False
KLM,10:20,16:15,$210,6h 55m,2024-07-19,Rome,London,False
Brussels Airlines,10:15,17:05,$189,7h 50m,2024-07-19,Rome,London,False
Lufthansa,13:20,17:40,$244,5h 20m,2024-07-19,Rome,London,False
"Wizz Air, LOT",9:05,17:20,$157,9h 15m,2024-07-19,Rome,London,False
KLM,6:30,10:45,$249,5h 15m,2024-07-19,Rome,London,False
"Wizz Air Malta, Vueling",6:10,13:10,$187,8h 00m,2024-07-19,Rome,London,False
"Wizz Air Malta, Iberia",6:05,12:00,$183,6h 55m,2024-07-19,Rome,London,False
"ITA Airways, Lufthansa",16:15,20:45,$247,5h 30m,2024-07-19,Rome,London,False
"ITA Airways, British Airways",10:50,16:35,$199,6h 45m,2024-07-19,Rome,London,False
"Wizz Air Malta, Vueling",13:10,19:45,$202,7h 35m,2024-07-19,Rome,London,False
Iberia,11:55,17:15,$232,6h 20m,2024-07-19,Rome,London,False
"ITA Airways, Vueling",6:30,13:10,$199,7h 40m,2024-07-19,Rome,London,False
Air France,17:10,21:25,$264,5h 15m,2024-07-19,Rome,London,False
Lufthansa,7:00,10:40,$269,4h 40m,2024-07-19,Rome,London,False
"Vueling, British Airways",12:15,20:35,$137,9h 20m,2024-07-19,Rome,London,False
Lufthansa,8:05,12:50,$246,5h 45m,2024-07-19,Rome,London,False
Lufthansa,10:50,15:45,$245,5h 55m,2024-07-19,Rome,London,False
"Wizz Air Malta, Vueling",11:40,19:45,$170,9h 05m,2024-07-19,Rome,London,False
"ITA Airways, British Airways",15:10,20:35,$222,6h 25m,2024-07-19,Rome,London,False
Lufthansa,13:20,18:40,$243,6h 20m,2024-07-19,Rome,London,False
Multiple airlines,14:55,22:25,$165,8h 30m,2024-07-19,Rome,London,False
"ITA Airways, Lufthansa",8:25,12:50,$268,5h 25m,2024-07-19,Rome,London,False
"Vueling, Eurostar",12:15,19:39,$160,8h 24m,2024-07-19,Rome,London,False
"easyJet, British Airways",12:35,21:50,$133,10h 15m,2024-07-19,Rome,London,False
Lufthansa,10:05,14:40,$269,5h 35m,2024-07-19,Rome,London,False
"easyJet, British Airways",14:55,22:35,$172,8h 40m,2024-07-19,Rome,London,False
Scandinavian Airlines,11:05,17:40,$228,7h 35m,2024-07-19,Rome,London,False
KLM,10:20,19:25,$174,10h 05m,2024-07-19,Rome,London,False
Lufthansa,10:05,15:40,$249,6h 35m,2024-07-19,Rome,London,False
Scandinavian Airlines,11:15,17:00,$252,6h 45m,2024-07-19,Rome,London,False
Lufthansa,8:05,15:45,$203,8h 40m,2024-07-19,Rome,London,False
Lufthansa,10:50,17:05,$235,7h 15m,2024-07-19,Rome,London,False
Multiple airlines,7:00,13:10,$236,7h 10m,2024-07-19,Rome,London,False
Iberia,11:55,18:40,$232,7h 45m,2024-07-19,Rome,London,False
Austrian Airlines,8:55,14:20,$263,6h 25m,2024-07-19,Rome,London,False
Scandinavian Airlines,10:40,16:25,$255,6h 45m,2024-07-19,Rome,London,False
"ITA Airways, British Airways",9:05,14:00,$257,5h 55m,2024-07-19,Rome,London,False
Air France,10:05,16:35,$243,7h 30m,2024-07-19,Rome,London,False
Air Malta,9:50,18:05,$233,9h 15m,2024-07-19,Rome,London,False
Aer Lingus,7:30,12:40,$258,6h 10m,2024-07-19,Rome,London,False
Iberia,11:55,18:15,$246,7h 20m,2024-07-19,Rome,London,False
"ITA Airways, British Airways",10:00,13:45,$285,4h 45m,2024-07-19,Rome,London,False
Iberia,6:20,14:55,$198,9h 35m,2024-07-19,Rome,London,False
"ITA Airways, Lufthansa",10:00,15:40,$241,6h 40m,2024-07-19,Rome,London,False
SWISS,15:05,19:25,$330,5h 20m,2024-08-19,Rome,London,False
Lufthansa,13:25,18:40,$243,6h 15m,2024-08-19,Rome,London,False
"Brussels Airlines, British Airways",10:15,15:15,$219,6h 00m,2024-08-19,Rome,London,False
SWISS,6:15,11:25,$246,6h 10m,2024-08-19,Rome,London,False
"ITA Airways, SWISS",9:10,13:40,$301,5h 30m,2024-08-19,Rome,London,False
Aer Lingus,15:20,20:20,$233,6h 00m,2024-08-19,Rome,London,False
"Scandinavian Airlines, British Airways",14:35,19:15,$253,5h 40m,2024-08-19,Rome,London,False
Air France,17:10,21:25,$336,5h 15m,2024-08-19,Rome,London,False
Aer Lingus,7:30,13:25,$228,6h 55m,2024-08-19,Rome,London,False
"Wizz Air Malta, British Airways",11:40,15:30,$287,4h 50m,2024-08-19,Rome,London,False
"ITA Airways, British Airways",9:15,13:45,$268,5h 30m,2024-08-19,Rome,London,False
Aer Lingus,7:30,12:40,$232,6h 10m,2024-08-19,Rome,London,False
"ITA Airways, British Airways",9:15,13:30,$290,5h 15m,2024-08-19,Rome,London,False
SWISS,9:40,13:00,$393,4h 20m,2024-08-19,Rome,London,False
Lufthansa,14:50,20:40,$243,6h 50m,2024-08-19,Rome,London,False
Iberia,17:20,22:25,$294,6h 05m,2024-08-19,Rome,London,False
KLM,10:20,16:15,$245,6h 55m,2024-08-19,Rome,London,False
Aer Lingus,11:10,17:20,$228,7h 10m,2024-08-19,Rome,London,False
"Wizz Air Malta, British Airways",15:50,20:45,$237,5h 55m,2024-08-19,Rome,London,False
Iberia,11:55,17:15,$275,6h 20m,2024-08-19,Rome,London,False
Aer Lingus,15:20,21:35,$228,7h 15m,2024-08-19,Rome,London,False
"ITA Airways, SWISS",16:30,21:30,$265,6h 00m,2024-08-19,Rome,London,False
Air France,6:00,10:30,$342,5h 30m,2024-08-19,Rome,London,False
Iberia,6:20,12:00,$275,6h 40m,2024-08-19,Rome,London,False
"Norwegian, British Airways",10:25,14:55,$278,5h 30m,2024-08-19,Rome,London,False
"Eurowings, British Airways",10:45,14:35,$326,4h 50m,2024-08-19,Rome,London,False
Austrian Airlines,8:55,14:20,$304,6h 25m,2024-08-19,Rome,London,False
"Aer Lingus, British Airways",15:20,21:50,$189,7h 30m,2024-08-19,Rome,London,False
"Eurowings, British Airways",8:40,13:05,$294,5h 25m,2024-08-19,Rome,London,False
"ITA Airways, British Airways",13:15,16:45,$383,4h 30m,2024-08-19,Rome,London,False
"Norwegian, Scandinavian Airlines",10:25,16:00,$233,6h 35m,2024-08-19,Rome,London,False
Lufthansa,15:50,20:45,$345,5h 55m,2024-08-19,Rome,London,False
Brussels Airlines,10:15,17:05,$226,7h 50m,2024-08-19,Rome,London,False
"Iberia, British Airways",16:25,21:20,$349,5h 55m,2024-08-19,Rome,London,False
Aer Lingus,7:30,13:55,$260,7h 25m,2024-08-19,Rome,London,False
Iberia,16:25,22:25,$294,7h 00m,2024-08-19,Rome,London,False
Lufthansa,10:05,16:40,$243,7h 35m,2024-08-19,Rome,London,False
KLM,12:40,19:25,$234,7h 45m,2024-08-19,Rome,London,False
"ITA Airways, Lufthansa",15:05,20:40,$265,6h 35m,2024-08-19,Rome,London,False
Lufthansa,12:55,17:05,$403,5h 10m,2024-08-19,Rome,London,False
"Iberia, British Airways",17:20,22:25,$349,6h 05m,2024-08-19,Rome,London,False
"ITA Airways, SWISS",8:30,13:00,$337,5h 30m,2024-08-19,Rome,London,False
"Transavia France, Vueling",6:30,13:30,$190,8h 00m,2024-08-19,Rome,London,False
Finnair,10:40,17:05,$271,7h 25m,2024-08-19,Rome,London,False
"ITA Airways, Vueling",14:05,19:45,$288,6h 40m,2024-08-19,Rome,London,False
SWISS,15:05,21:45,$270,7h 40m,2024-08-19,Rome,London,False
Vueling,6:45,13:30,$228,7h 45m,2024-08-19,Rome,London,False
SWISS,9:40,16:20,$270,7h 40m,2024-08-19,Rome,London,False
Lufthansa,13:25,20:40,$243,8h 15m,2024-08-19,Rome,London,False
"ITA Airways, Lufthansa",10:00,15:40,$283,6h 40m,2024-08-19,Rome,London,False
KLM,10:20,17:35,$245,8h 15m,2024-08-19,Rome,London,False
