Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Vueling,13:30,14:55,$128,2h 25m,2024-07-19,Madrid,London,False
Iberia,14:55,16:20,$132,2h 25m,2024-07-19,Madrid,London,False
Vueling,17:20,18:40,$128,2h 20m,2024-07-19,Madrid,London,False
Iberia,16:50,18:15,$132,2h 25m,2024-07-19,Madrid,London,False
British Airways,17:20,18:40,$129,2h 20m,2024-07-19,Madrid,London,False
Iberia,12:10,13:30,$132,2h 20m,2024-07-19,Madrid,London,False
British Airways,16:50,18:15,$154,2h 25m,2024-07-19,Madrid,London,False
British Airways,14:55,16:20,$154,2h 25m,2024-07-19,Madrid,London,False
British Airways,12:10,13:30,$155,2h 20m,2024-07-19,Madrid,London,False
Vueling,16:50,18:15,$169,2h 25m,2024-07-19,Madrid,London,False
Vueling,14:55,16:20,$169,2h 25m,2024-07-19,Madrid,London,False
Iberia,20:50,22:10,$226,2h 20m,2024-07-19,Madrid,London,False
British Airways,20:50,22:10,$249,2h 20m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,16:20,22:05,$94,6h 45m,2024-07-19,Madrid,London,False
"Iberia, Vueling",9:55,13:10,$134,4h 15m,2024-07-19,Madrid,London,False
KLM,17:10,20:55,$146,4h 45m,2024-07-19,Madrid,London,False
"easyJet, TAP AIR PORTUGAL",17:55,22:05,$123,5h 10m,2024-07-19,Madrid,London,False
KLM,13:05,17:35,$146,5h 30m,2024-07-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",18:55,22:55,$146,5h 00m,2024-07-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",6:30,11:00,$144,5h 30m,2024-07-19,Madrid,London,False
Lufthansa,14:55,19:40,$168,5h 45m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,16:20,22:55,$94,7h 35m,2024-07-19,Madrid,London,False
Lufthansa,13:00,17:40,$175,5h 40m,2024-07-19,Madrid,London,False
"easyJet, TAP AIR PORTUGAL",17:55,22:55,$123,6h 00m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,17:55,22:55,$170,6h 00m,2024-07-19,Madrid,London,False
Brussels Airlines,12:40,17:05,$194,5h 25m,2024-07-19,Madrid,London,False
"Air Europa, Vueling",8:00,13:10,$145,6h 10m,2024-07-19,Madrid,London,False
Brussels Airlines,6:20,10:15,$214,4h 55m,2024-07-19,Madrid,London,False
"Iberia, TAP AIR PORTUGAL",18:05,22:55,$152,5h 50m,2024-07-19,Madrid,London,False
"Iberia, British Airways",18:00,22:40,$164,5h 40m,2024-07-19,Madrid,London,False
Lufthansa,17:00,22:10,$175,6h 10m,2024-07-19,Madrid,London,False
Brussels Airlines,17:35,20:55,$255,4h 20m,2024-07-19,Madrid,London,False
KLM,13:05,19:25,$129,7h 20m,2024-07-19,Madrid,London,False
"Iberia, British Airways",18:00,21:50,$201,4h 50m,2024-07-19,Madrid,London,False
"Iberia, TAP AIR PORTUGAL",7:20,12:45,$137,6h 25m,2024-07-19,Madrid,London,False
"Iberia, British Airways",7:20,12:20,$187,6h 00m,2024-07-19,Madrid,London,False
"Vueling, British Airways",17:20,22:40,$136,6h 20m,2024-07-19,Madrid,London,False
"Transavia France, Vueling",6:55,13:10,$128,7h 15m,2024-07-19,Madrid,London,False
Lufthansa,8:25,12:40,$231,5h 15m,2024-07-19,Madrid,London,False
"Transavia, Vueling",6:55,13:10,$135,7h 15m,2024-07-19,Madrid,London,False
KLM,10:20,16:15,$165,6h 55m,2024-07-19,Madrid,London,False
Brussels Airlines,17:35,21:35,$255,5h 00m,2024-07-19,Madrid,London,False
Lufthansa,13:00,18:40,$175,6h 40m,2024-07-19,Madrid,London,False
Lufthansa,14:55,20:45,$168,6h 50m,2024-07-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",6:30,12:45,$130,7h 15m,2024-07-19,Madrid,London,False
Lufthansa,5:55,10:40,$175,5h 45m,2024-07-19,Madrid,London,False
Lufthansa,11:50,17:05,$210,6h 15m,2024-07-19,Madrid,London,False
KLM,6:00,10:45,$236,5h 45m,2024-07-19,Madrid,London,False
Lufthansa,8:25,14:40,$175,7h 15m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,6:35,11:00,$260,5h 25m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,13:35,18:50,$229,6h 15m,2024-07-19,Madrid,London,False
KLM,10:20,17:35,$146,8h 15m,2024-07-19,Madrid,London,False
"Iberia, Vueling",12:30,19:45,$111,8h 15m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,17:45,$169,7h 40m,2024-07-19,Madrid,London,False
Lufthansa,8:25,15:40,$175,8h 15m,2024-07-19,Madrid,London,False
"Iberia, British Airways",9:50,16:35,$199,7h 45m,2024-07-19,Madrid,London,False
Aer Lingus,10:40,15:55,$264,6h 15m,2024-07-19,Madrid,London,False
Air France,16:40,21:25,$292,5h 45m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,6:35,12:45,$230,7h 10m,2024-07-19,Madrid,London,False
Lufthansa,7:15,12:50,$247,6h 35m,2024-07-19,Madrid,London,False
TAP AIR PORTUGAL,11:05,18:50,$169,8h 45m,2024-07-19,Madrid,London,False
"Iberia, British Airways",17:10,22:35,$272,6h 25m,2024-07-19,Madrid,London,False
Lufthansa,14:55,22:40,$174,8h 45m,2024-07-19,Madrid,London,False
Air France,12:20,16:35,$325,5h 15m,2024-07-19,Madrid,London,False
"Iberia, Vueling",11:30,19:45,$107,9h 15m,2024-07-19,Madrid,London,False
Lufthansa,13:00,20:40,$182,8h 40m,2024-07-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",14:55,22:05,$170,8h 10m,2024-07-19,Madrid,London,False
"Iberia, China Eastern",8:55,13:45,$269,5h 50m,2024-07-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",10:25,17:45,$163,8h 20m,2024-07-19,Madrid,London,False
Lufthansa,11:50,19:40,$191,8h 50m,2024-07-19,Madrid,London,False
Iberia,17:55,19:20,$106,2h 25m,2024-08-19,Madrid,London,False
TAP AIR PORTUGAL,17:55,22:55,$93,6h 00m,2024-08-19,Madrid,London,False
Iberia,15:45,17:15,$118,2h 30m,2024-08-19,Madrid,London,False
Iberia,8:00,9:30,$118,2h 30m,2024-08-19,Madrid,London,False
Iberia,20:50,22:10,$132,2h 20m,2024-08-19,Madrid,London,False
Iberia,9:10,10:35,$132,2h 25m,2024-08-19,Madrid,London,False
Iberia,14:55,16:20,$145,2h 25m,2024-08-19,Madrid,London,False
Iberia,10:40,12:00,$145,2h 20m,2024-08-19,Madrid,London,False
British Airways,17:55,19:20,$125,2h 25m,2024-08-19,Madrid,London,False
British Airways,15:45,17:15,$129,2h 30m,2024-08-19,Madrid,London,False
British Airways,8:00,9:30,$129,2h 30m,2024-08-19,Madrid,London,False
Iberia,17:30,18:50,$144,2h 20m,2024-08-19,Madrid,London,False
British Airways,20:50,22:10,$154,2h 20m,2024-08-19,Madrid,London,False
British Airways,9:10,10:35,$154,2h 25m,2024-08-19,Madrid,London,False
British Airways,14:55,16:20,$166,2h 25m,2024-08-19,Madrid,London,False
Iberia,12:10,13:30,$194,2h 20m,2024-08-19,Madrid,London,False
British Airways,10:40,12:00,$171,2h 20m,2024-08-19,Madrid,London,False
British Airways,17:30,18:50,$171,2h 20m,2024-08-19,Madrid,London,False
Iberia,12:10,13:30,$194,2h 20m,2024-08-19,Madrid,London,False
British Airways,12:10,13:30,$214,2h 20m,2024-08-19,Madrid,London,False
TAP AIR PORTUGAL,16:20,22:55,$101,7h 35m,2024-08-19,Madrid,London,False
TAP AIR PORTUGAL,16:20,22:00,$148,6h 40m,2024-08-19,Madrid,London,False
Brussels Airlines,17:35,20:55,$194,4h 20m,2024-08-19,Madrid,London,False
Brussels Airlines,17:35,21:35,$194,5h 00m,2024-08-19,Madrid,London,False
Brussels Airlines,6:20,10:15,$214,4h 55m,2024-08-19,Madrid,London,False
Brussels Airlines,12:40,17:05,$214,5h 25m,2024-08-19,Madrid,London,False
KLM,17:10,20:55,$256,4h 45m,2024-08-19,Madrid,London,False
Lufthansa,13:00,17:40,$231,5h 40m,2024-08-19,Madrid,London,False
Lufthansa,5:55,10:40,$231,5h 45m,2024-08-19,Madrid,London,False
Lufthansa,8:25,12:40,$258,5h 15m,2024-08-19,Madrid,London,False
Lufthansa,18:20,22:40,$273,5h 20m,2024-08-19,Madrid,London,False
"Iberia, British Airways",9:55,13:45,$209,4h 50m,2024-08-19,Madrid,London,False
KLM,17:10,20:55,$256,4h 45m,2024-08-19,Madrid,London,False
Brussels Airlines,12:40,17:05,$214,5h 25m,2024-08-19,Madrid,London,False
"Air Europa, Vueling",15:10,19:45,$219,5h 35m,2024-08-19,Madrid,London,False
Lufthansa,13:00,17:40,$231,5h 40m,2024-08-19,Madrid,London,False
British Airways,16:10,20:40,$243,5h 30m,2024-08-19,Madrid,London,False
KLM,13:05,17:35,$252,5h 30m,2024-08-19,Madrid,London,False
Lufthansa,8:25,12:40,$258,5h 15m,2024-08-19,Madrid,London,False
Aer Lingus,10:40,15:55,$216,6h 15m,2024-08-19,Madrid,London,False
Lufthansa,17:05,22:10,$231,6h 05m,2024-08-19,Madrid,London,False
"Iberia, SWISS",16:35,21:45,$199,6h 10m,2024-08-19,Madrid,London,False
Lufthansa,18:20,22:40,$273,5h 20m,2024-08-19,Madrid,London,False
"Iberia, SWISS",16:10,21:30,$195,6h 20m,2024-08-19,Madrid,London,False
